NY Date,Curve_Day,NY New Cases,NY New Cases_m1_days,NY New Cases_m2_days,NY New Cases_m3_days,NY New Cases_m4_days,NY New Cases_m5_days,NY New Cases_m6_days,NY New Cases_m7_days,NY Pop Pct,NY_Pop_Pct_m1,NY_Pop_Pct_m2,NY_Pop_Pct_m3,NY_Pop_Pct_m4,NY_Pop_Pct_m5,NY_Pop_Pct_m6,NY_Pop_Pct_m7,NY 3Day Avg Pop Pct,NY 7Day Avg Pop Pct,NY Pct Change,NY_Pct_Change_m1,NY_Pct_Change_m2,NY_Pct_Change_m3,NY_Pct_Change_m4,NY_Pct_Change_m5,NY_Pct_Change_m6,NY_Pct_Change_m7,NY 3Day Avg Pct Chg,NY 7Day Avg Pct Chg
3/30/2020,11,6785,7413,7250,7380,6097,6674,5516,5123,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.00038,0.00036,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,-0.00001,0.00001
3/31/2020,12,8823,6785,7413,7250,7380,6097,6674,5516,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00041,0.00038,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,0.00003,0.00003
4/1/2020,13,8104,8823,6785,7413,7250,7380,6097,6674,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00042,0.00039,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.00001,0.00001
4/2/2020,14,9353,8104,8823,6785,7413,7250,7380,6097,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00047,0.00042,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00005,0.00002
4/3/2020,15,10628,9353,8104,8823,6785,7413,7250,7380,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.0005,0.00044,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,0.00003,0.00002
4/4/2020,16,11506,10628,9353,8104,8823,6785,7413,7250,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00056,0.00048,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006,0.00003
4/5/2020,17,8477,11506,10628,9353,8104,8823,6785,7413,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00054,0.00048,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00002,0.00001
4/6/2020,18,9135,8477,11506,10628,9353,8104,8823,6785,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00052,0.0005,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,-0.00003,0.00002
4/7/2020,19,10714,9135,8477,11506,10628,9353,8104,8823,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.0005,0.00052,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.00001,0.00001
4/8/2020,20,9000,10714,9135,8477,11506,10628,9353,8104,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00051,0.00052,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00001,0.00001
4/9/2020,21,10533,9000,10714,9135,8477,11506,10628,9353,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00054,0.00053,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,0.00002,0.00001
4/10/2020,22,11045,10533,9000,10714,9135,8477,11506,10628,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00054,0.00053,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00001,0
4/11/2020,23,8969,11045,10533,9000,10714,9135,8477,11506,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.00054,0.00052,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0,-0.00002
4/12/2020,24,8458,8969,11045,10533,9000,10714,9135,8477,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.0005,0.00052,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,-0.00004,0
4/13/2020,25,6419,8458,8969,11045,10533,9000,10714,9135,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00042,0.00049,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00008,-0.00002
4/14/2020,26,7614,6419,8458,8969,11045,10533,9000,10714,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004,0.00047,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,-0.00002,-0.00002
4/15/2020,27,11661,7614,6419,8458,8969,11045,10533,9000,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00046,0.00049,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00006,0.00002
4/16/2020,28,7636,11661,7614,6419,8458,8969,11045,10533,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00048,0.00047,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,0.00002,-0.00002
4/17/2020,29,7753,7636,11661,7614,6419,8458,8969,11045,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00048,0.00044,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0,-0.00003
4/18/2020,30,7090,7753,7636,11661,7614,6419,8458,8969,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.0004,0.00043,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,-0.00008,-0.00001
4/19/2020,31,6174,7090,7753,7636,11661,7614,6419,8458,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00037,0.00041,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.00003,-0.00002
4/20/2020,32,4879,6174,7090,7753,7636,11661,7614,6419,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.00032,0.0004,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00005,-0.00001
4/21/2020,33,4461,4879,6174,7090,7753,7636,11661,7614,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00028,0.00038,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00005,-0.00002
4/22/2020,34,5713,4461,4879,6174,7090,7753,7636,11661,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00027,0.00033,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,-0.00001,-0.00005
4/23/2020,35,6313,5713,4461,4879,6174,7090,7753,7636,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00029,0.00032,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00003,-0.00001
4/24/2020,36,8864,6313,5713,4461,4879,6174,7090,7753,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00037,0.00033,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,0.00008,0.00001
4/25/2020,37,10868,8864,6313,5713,4461,4879,6174,7090,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00046,0.00036,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00009,0.00003
4/26/2020,38,5678,10868,8864,6313,5713,4461,4879,6174,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00045,0.00036,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00001,0
4/27/2020,39,4013,5678,10868,8864,6313,5713,4461,4879,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00036,0.00035,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00009,-0.00001
4/28/2020,40,3446,4013,5678,10868,8864,6313,5713,4461,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00023,0.00034,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00013,-0.00001
4/29/2020,41,4708,3446,4013,5678,10868,8864,6313,5713,0.00025037,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00022,0.00033,0.00006711,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002,-0.00001
4/30/2020,42,4681,4708,3446,4013,5678,10868,8864,6313,0.00024894,0.00025037,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00023,0.00032,-0.00000144,0.00006711,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00001,-0.00001
5/1/2020,43,4383,4681,4708,3446,4013,5678,10868,8864,0.00023309,0.00024894,0.00025037,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00024,0.00029,-0.00001585,-0.00000144,0.00006711,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00002,-0.00003
5/2/2020,44,3991,4383,4681,4708,3446,4013,5678,10868,0.00021224,0.00023309,0.00024894,0.00025037,0.00018326,0.00021341,0.00030196,0.00057796,0.00023,0.00023,-0.00002085,-0.00001585,-0.00000144,0.00006711,-0.00003015,-0.00008854,-0.00027601,0.00010657,-0.00001,-0.00005
5/3/2020,45,4670,3991,4383,4681,4708,3446,4013,5678,0.00024835,0.00021224,0.00023309,0.00024894,0.00025037,0.00018326,0.00021341,0.00030196,0.00023,0.00023,0.00003611,-0.00002085,-0.00001585,-0.00000144,0.00006711,-0.00003015,-0.00008854,-0.00027601,0,-0.00001
5/4/2020,46,3491,4670,3991,4383,4681,4708,3446,4013,0.00018565,0.00024835,0.00021224,0.00023309,0.00024894,0.00025037,0.00018326,0.00021341,0.00022,0.00022,-0.0000627,0.00003611,-0.00002085,-0.00001585,-0.00000144,0.00006711,-0.00003015,-0.00008854,-0.00002,0
5/5/2020,47,2765,3491,4670,3991,4383,4681,4708,3446,0.00014704,0.00018565,0.00024835,0.00021224,0.00023309,0.00024894,0.00025037,0.00018326,0.00019,0.00022,-0.00003861,-0.0000627,0.00003611,-0.00002085,-0.00001585,-0.00000144,0.00006711,-0.00003015,-0.00002,-0.00001
