NJ Date,Curve_Day,NJ New Cases,NJ New Cases_m1_days,NJ New Cases_m2_days,NJ New Cases_m3_days,NJ New Cases_m4_days,NJ New Cases_m5_days,NJ New Cases_m6_days,NJ New Cases_m7_days,NJ Pop Pct,NJ_Pop_Pct_m1,NJ_Pop_Pct_m2,NJ_Pop_Pct_m3,NJ_Pop_Pct_m4,NJ_Pop_Pct_m5,NJ_Pop_Pct_m6,NJ_Pop_Pct_m7,NJ 3Day Avg Pop Pct,NJ 7Day Avg Pop Pct,NJ Pct Change,NJ_Pct_Change_m1,NJ_Pct_Change_m2,NJ_Pct_Change_m3,NJ_Pct_Change_m4,NJ_Pct_Change_m5,NJ_Pct_Change_m6,NJ_Pct_Change_m7,NJ 3Day Avg Pct Chg,NJ 7Day Avg Pct Chg
4/10/2020,16,3551,3574,3022,3318,3554,3350,4206,4268,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00036598,0.00037987,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,0.0000084,-0.00001108
4/11/2020,17,3555,3551,3574,3022,3318,3554,3350,4206,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.0003852,0.00036981,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00001922,-0.00001006
4/12/2020,18,3687,3555,3551,3574,3022,3318,3554,3350,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.00038928,0.00037502,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,0.00000408,0.00000521
4/13/2020,19,2714,3687,3555,3551,3574,3022,3318,3554,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00035909,0.00036203,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00003019,-0.00001298
4/14/2020,20,2440,2714,3687,3555,3551,3574,3022,3318,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00031887,0.00034846,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,-0.00004022,-0.00001357
4/15/2020,21,2229,2440,2714,3687,3555,3551,3574,3022,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00026629,0.0003362,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00005259,-0.00001226
4/16/2020,22,4284,2229,2440,2714,3687,3555,3551,3574,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032291,0.00034718,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,0.00005663,0.00001097
4/17/2020,23,3157,4284,2229,2440,2714,3687,3555,3551,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00034877,0.00034109,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00002586,-0.00000609
4/18/2020,24,2949,3157,4284,2229,2440,2714,3687,3555,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00037474,0.00033172,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,0.00002597,-0.00000937
4/19/2020,25,3853,2949,3157,4284,2229,2440,2714,3687,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.0003592,0.00033429,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,-0.00001555,0.00000257
4/20/2020,26,3487,3853,2949,3157,4284,2229,2440,2714,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.0003711,0.00034623,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.0000119,0.00001195
4/21/2020,27,3590,3487,3853,2949,3157,4284,2229,2440,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00039422,0.00036401,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,0.00002312,0.00001778
4/22/2020,28,3479,3590,3487,3853,2949,3157,4284,2229,0.00037644,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00038073,0.00038333,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00001349,0.00001932
4/23/2020,29,4161,3479,3590,3487,3853,2949,3157,4284,0.00045023,0.00037644,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00040504,0.00038143,0.00007379,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,0.00002431,-0.0000019
